Target,Method,MAE,RMSE,MAPE_%,Window
Attrition_Rate_Pct,Attrition_Rate_Pct - SMA(13),0.5441346153846154,0.6616698401148069,32.452218108735345,13.0
Attrition_Rate_Pct,Attrition_Rate_Pct - SMA(16),0.5473958333333332,0.6617540759460798,32.510746766832945,16.0
Attrition_Rate_Pct,Attrition_Rate_Pct - SMA(17),0.5519852941176471,0.6620658682911926,32.85276801042234,17.0
Attrition_Rate_Pct,Attrition_Rate_Pct - SMA(10),0.5555416666666666,0.6628467960245413,32.7064716314773,10.0
Attrition_Rate_Pct,Attrition_Rate_Pct - SMA(18),0.5545138888888889,0.6647410171307071,33.174096383279725,18.0
Attrition_Rate_Pct,Attrition_Rate_Pct - SMA(15),0.5479444444444445,0.6654216986520931,32.48065822624949,15.0
Attrition_Rate_Pct,Attrition_Rate_Pct - SMA(12),0.5426736111111111,0.6683824924771743,32.39508994471418,12.0
Attrition_Rate_Pct,Attrition_Rate_Pct - SMA(14),0.5541369047619048,0.6721823118575418,32.82866792536875,14.0
Attrition_Rate_Pct,Attrition_Rate_Pct - SMA(7),0.5811904761904761,0.6734086810404809,33.815324143691356,7.0
Attrition_Rate_Pct,Attrition_Rate_Pct - SMA(9),0.5722685185185186,0.6749249691571424,33.76566475326629,9.0
Attrition_Rate_Pct,Attrition_Rate_Pct - SMA(8),0.5850000000000001,0.6757031445711447,33.94574447928343,8.0
Attrition_Rate_Pct,Attrition_Rate_Pct - SMA(11),0.5699242424242426,0.6809685615490497,33.61252115272399,11.0
Attrition_Rate_Pct,Attrition_Rate_Pct - SMA(6),0.5820138888888889,0.701336769240633,34.65423176099751,6.0
Attrition_Rate_Pct,Attrition_Rate_Pct - WMA(6),0.6017063492063491,0.7414054420345578,36.48374614895418,
Attrition_Rate_Pct,Attrition_Rate_Pct - SMA(5),0.61375,0.7500374435097669,36.396371298319444,5.0
Attrition_Rate_Pct,Attrition_Rate_Pct - SMA(4),0.6311458333333334,0.7849739579013647,37.915411165432275,4.0
Attrition_Rate_Pct,Attrition_Rate_Pct - SMA(3),0.6202777777777778,0.8053116488986435,38.80923174092268,3.0
Attrition_Rate_Pct,Attrition_Rate_Pct - SMA(2),0.6993749999999999,0.8699299540767635,42.61484681885583,2.0
Attrition_Rate_Pct,Attrition_Rate_Pct - Naive,0.7633333333333333,0.8950698296781094,44.06841907470573,
Headcount,Headcount - Naive,2.375,2.8210518133017928,0.4772580299959395,
Headcount,Headcount - SMA(2),3.4166666666666665,3.7388723790290923,0.6853997757375105,2.0
Headcount,Headcount - SMA(3),4.472222222222226,4.748294040631473,0.8973901777154313,3.0
Headcount,Headcount - SMA(4),5.489583333333333,5.745242597140699,1.1017134694854749,4.0
Headcount,Headcount - WMA(6),5.807539682539679,6.057461369782693,1.1654430475970532,
Headcount,Headcount - SMA(5),6.499999999999997,6.7438861200349445,1.30456952932579,5.0
Headcount,Headcount - SMA(6),7.49305555555556,7.754105841901276,1.5036904436167375,6.0
Headcount,Headcount - SMA(7),8.47023809523809,8.74336483119791,1.6996040870927067,7.0
Headcount,Headcount - SMA(8),9.416666666666666,9.724592964918035,1.889144215415235,8.0
Headcount,Headcount - SMA(9),10.337962962962964,10.673825722558693,2.0736458037449363,9.0
Headcount,Headcount - SMA(10),11.225000000000003,11.596515281181098,2.251167546599904,10.0
Headcount,Headcount - SMA(11),12.087121212121213,12.50128092610467,2.423492377647442,11.0
Headcount,Headcount - SMA(12),12.927083333333329,13.38500188505638,2.5913007111371256,12.0
Headcount,Headcount - SMA(13),13.743589743589743,14.25111158680494,2.754289381359654,13.0
Headcount,Headcount - SMA(14),14.535714285714286,15.090810714710159,2.912362053317638,14.0
Headcount,Headcount - SMA(15),15.302777777777777,15.907423144906629,3.065397705526606,15.0
Headcount,Headcount - SMA(16),16.046875,16.704433122303193,3.2137269762119938,16.0
Headcount,Headcount - SMA(17),16.772058823529417,17.473604248810837,3.358449840133463,17.0
Headcount,Headcount - SMA(18),17.481481481481485,18.22425462920565,3.500089896178471,18.0
